=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.05.26 16:45:36 =~=~=~=~=~=~=~=~=~=~=~=
0, -24509.80, 0.00, -24509.80, 0.00, 
2, -15117.97, 0.63, -15261.73, 0.62, 
5, -15070.06, 0.64, -15213.81, 0.63, 
8, -15022.14, 0.64, -15213.81, 0.63, 
11, -14974.22, 0.64, -15165.89, 0.63, 
13, -14878.39, 0.65, -15117.97, 0.63, 
16, -14878.39, 0.65, -15070.06, 0.64, 
19, -14878.39, 0.65, -15070.06, 0.64, 
22, -14878.39, 0.65, -14878.39, 0.65, 
25, -14542.96, 0.67, -14638.80, 0.66, 
28, -14159.62, 0.70, -14207.54, 0.69, 
30, -13824.20, 0.72, -13824.20, 0.72, 
33, -13488.78, 0.74, -13440.86, 0.75, 
36, -13105.44, 0.77, -13105.44, 0.77, 
39, -12770.01, 0.79, -12722.10, 0.79, 
42, -12434.59, 0.81, -12386.67, 0.82, 
45, -12147.09, 0.83, -12099.17, 0.84, 
48, -11811.67, 0.85, -11763.75, 0.86, 
51, -11620.00, 0.87, -11572.08, 0.87, 
53, -11332.49, 0.89, -11236.66, 0.89, 
56, -11044.98, 0.91, -10949.15, 0.91, 
59, -10757.48, 0.93, -10661.64, 0.93, 
62, -10469.97, 0.95, -10374.14, 0.95, 
65, -10182.47, 0.96, -10086.63, 0.97, 
68, -10038.72, 0.97, -9894.96, 0.98, 
70, -9751.21, 0.99, -9655.38, 1.00, 
73, -9511.63, 1.01, -9367.87, 1.02, 
76, -9272.04, 1.03, -9128.29, 1.04, 
79, -9032.45, 1.04, -8888.70, 1.05, 
81, -8888.70, 1.05, -8744.95, 1.06, 
91, -8122.02, 1.10, -7978.26, 1.11, 
101, -7451.17, 1.15, -7307.42, 1.16, 
111, -6828.24, 1.19, -6636.57, 1.20, 
121, -6253.23, 1.23, -6061.56, 1.24, 
131, -5726.14, 1.26, -5534.47, 1.28, 
141, -5246.97, 1.30, -5055.30, 1.31, 
151, -4815.71, 1.33, -4624.04, 1.34, 
161, -4384.45, 1.35, -4240.70, 1.36, 
171, -4049.03, 1.38, -3857.36, 1.39, 
181, -3713.61, 1.40, -3521.94, 1.41, 
