5 -1.62
-0.53 3.02 -1.47
-0.28 3.18 -1.44
0.16 3.60 -1.24
0.67 3.92 -1.48
1.16 4.30 -1.26
1.77 4.94 -0.53
2.31 5.49 0.79
2.62 6.11 3.17
2.98 7.15 4.96
3.66 7.96 4.65
4.06 8.85 0.31
4.42 9.91 -7.69
4.81 10.91 -18.38
4.97 11.88 -29.37
4.82 12.78 -39.37
4.04 12.89 -36.89
1.26 10.38 -32.31
-4.48 6.43 -39.38
-10.82 -0.62 -7.50
-18.35 -5.57 -8.10
-25.38 -14.29 -0.67
-32.22 -23.06 -24.20
-37.05 -30.62 -17.79
L
-17.50 36.89 -89.32
-28.82 31.96 -53.83
-28.61 29.87 -62.05
-27.53 27.53 -101.17
-27.59 23.61 -94.71
-22.90 20.70 -66.39
-12.61 19.35 -60.29
-13.20 16.67 -58.44
-13.26 15.01 -50.71
-9.67 13.94 -39.77
-7.17 14.00 -2.44
-3.43 15.92 9.89
0.81 17.48 -33.18
0.97 15.98 -83.42
-0.33 13.61 -43.73
-1.17 12.83 -35.14
-3.67 12.21 -21.44
-5.00 12.48 -3.39
-2.80 13.42 3.35
0.79 14.41 9.92
3.03 16.33 16.71
5.93 18.18 17.09
7.44 19.91 15.25
8.32 21.93 15.23
8.89 23.30 19.27
8.93 24.79 35.27
8.56 26.73 49.44
9.29 29.21 58.86
9.81 31.32 31.42
9.17 32.47 42.45
9.70 34.49 40.40
9.68 36.42 49.62
9.34 38.55 42.63
9.25 40.57 34.11
9.70 42.17 30.55
9.17 44.04 20.44
8.88 45.30 18.07
7.81 46.35 5.89
6.39 46.95 -3.28
5.07 47.24 -8.64
3.77 47.43 -5.55
2.44 47.74 -1.13
1.83 48.33 3.56
1.84 48.96 7.89
2.32 49.56 10.93
2.85 50.45 14.90
3.21 50.95 11.26
3.29 51.51 8.51
3.03 51.82 17.80
2.93 52.48 13.74
2.45 52.73 11.34
2.00 52.95 7.92
1.58 53.05 -4.02
0.72 52.54 -14.
