83 1.83
-0.11 -2.91 1.99
-0.29 -2.95 2.22
-0.27 -3.01 2.40
-0.26 -3.04 2.75
-0.26 -3.09 3.20
-0.32 -3.23 3.50
-0.36 -3.31 3.93
-0.38 -3.42 3.73
-0.30 -3.33 4.07
-0.19 -3.29 4.04
0.03 -3.11 4.12
0.47 -2.84 3.80
0.92 -2.50 3.69
1.23 -2.10 3.35
1.57 -1.72 3.02
1.77 -1.43 2.69
1.77 -1.07 3.08
1.79 -0.71 2.81
1.75 -0.35 1.84
1.71 -0.01 -0.13
1.81 0.38 -2.15
1.76 0.78 -5.02
1.69 0.99 -7.59
1.45 1.12 -10.47
1.10 1.06 -13.74
0.49 0.73 -17.61
-0.36 0.33 -22.09
-1.31 -0.32 -27.97
-2.31 -1.21 -36.60
-3.68 -2.59 -46.37
-6.10 -5.23 -47.48
-8.05 -7.72 -45.39
-10.24 -10.56 -43.68
-12.04 -14.16 -31.83
L
2.04 56.06 1.09
2.71 56.21 1.17
2.34 56.34 2.31
1.73 56.39 -1.98
0.95 56.11 -4.95
0.22 55.92 -2.95
-0.71 55.40 3.73
-1.19 55.15 5.52
-1.70 54.70 6.21
-2.07 54.11 4.56
-2.58 53.34 -0.33
-3.31 52.19 -5.95
-4.69 50.46 -5.92
-5.40 49.30 -8.00
-5.89 48.14 -12.33
-6.49 46.85 -15.46
-6.81 45.38 -15.60
-6.21 44.25 -10.95
-5.65 43.64 -7.71
-4.75 43.47 -2.13
-2.33 45.15 10.64
2.27 47.65 7.19
5.22 49.47 4.37
8.79 52.43 4.87
11.17 54.64 1.96
11.81 56.33 -5.51
9.79 57.65 -7.49
8.94 58.68 -7.76
6.79 59.23 -17.63
4.53 59.17 -21.50
2.69 59.02 -19.11
1.71 59.14 -23.68
0.43 58.85 -58.49
-2.27 56.94 -89.70
-5.53 53.64 -110.76
-8.84 50.18 -52.63
-10.70 48.18 -17.79
-10.78 48.06 6.04
